,fname,lname,paperId
0,Jim,Gray,http://arxiv.org/abs/cs/9809005v1
1,Goetz,Graefe,http://arxiv.org/abs/cs/9809005v1
2,Davood,Rafiei,http://arxiv.org/abs/cs/9809023v2
3,Alberto,Mendelzon,http://arxiv.org/abs/cs/9809023v2
4,Francis,Chu,http://arxiv.org/abs/cs/9909016v1
5,Joseph,Halpern,http://arxiv.org/abs/cs/9909016v1
6,Praveen,Seshadri,http://arxiv.org/abs/cs/9909016v1
7,Prasan,Roy,http://arxiv.org/abs/cs/9910021v1
8,S.,Seshadri,http://arxiv.org/abs/cs/9910021v1
9,S.,Sudarshan,http://arxiv.org/abs/cs/9910021v1
10,Siddhesh,Bhobe,http://arxiv.org/abs/cs/9910021v1
11,Angela,Bonifati,http://arxiv.org/abs/cs/9912015v1
12,Stefano,Ceri,http://arxiv.org/abs/cs/9912015v1
13,Avigdor,Gal,http://arxiv.org/abs/cs/0007044v2
14,Jonathan,Eckstein,http://arxiv.org/abs/cs/0007044v2
15,Sara,Cohen,http://arxiv.org/abs/cs/0011024v1
16,Werner,Nutt,http://arxiv.org/abs/cs/0011024v1
17,Alexander,Serebrenik,http://arxiv.org/abs/cs/0011024v1
18,Yaron,Kanza,http://arxiv.org/abs/cs/0011041v1
19,Yakov,Kogan,http://arxiv.org/abs/cs/0011041v1
20,Yehoshua,Sagiv,http://arxiv.org/abs/cs/0011041v1
21,Paul,Aoki,http://arxiv.org/abs/cs/0103004v1
22,Ian,Smith,http://arxiv.org/abs/cs/0103004v1
23,James,Thornton,http://arxiv.org/abs/cs/0103004v1
24,Raj,Gopalan,http://arxiv.org/abs/cs/0106055v1
25,Tariq,Nuruddin,http://arxiv.org/abs/cs/0106055v1
26,Yudho,Sucahyo,http://arxiv.org/abs/cs/0106055v1
27,John,Horrigan,http://arxiv.org/abs/cs/0109084v1
28,N.,Sarda,http://arxiv.org/abs/cs/0110020v1
29,Ankur,Jain,http://arxiv.org/abs/cs/0110052v1
30,D.,Quock,http://arxiv.org/abs/cs/0111004v1
31,F.,Munson,http://arxiv.org/abs/cs/0111004v1
