,fname,lname,year,paperId
0,Jim,Gray,1998,http://arxiv.org/abs/cs/9809005v1
1,Goetz,Graefe,1998,http://arxiv.org/abs/cs/9809005v1
2,Davood,Rafiei,1998,http://arxiv.org/abs/cs/9809023v2
3,Alberto,Mendelzon,1998,http://arxiv.org/abs/cs/9809023v2
4,Davood,Rafiei,1998,http://arxiv.org/abs/cs/9809033v2
5,Alberto,Mendelzon,1998,http://arxiv.org/abs/cs/9809033v2
6,Francis,Chu,1999,http://arxiv.org/abs/cs/9909016v1
7,Joseph,Halpern,1999,http://arxiv.org/abs/cs/9909016v1
8,Praveen,Seshadri,1999,http://arxiv.org/abs/cs/9909016v1
9,Prasan,Roy,1999,http://arxiv.org/abs/cs/9910021v1
10,S.,Seshadri,1999,http://arxiv.org/abs/cs/9910021v1
11,S.,Sudarshan,1999,http://arxiv.org/abs/cs/9910021v1
12,Siddhesh,Bhobe,1999,http://arxiv.org/abs/cs/9910021v1
13,Angela,Bonifati,1999,http://arxiv.org/abs/cs/9912015v1
14,Stefano,Ceri,1999,http://arxiv.org/abs/cs/9912015v1
15,Prasan,Roy,2000,http://arxiv.org/abs/cs/0003005v1
16,Krithi,Ramamritham,2000,http://arxiv.org/abs/cs/0003005v1
17,S.,Seshadri,2000,http://arxiv.org/abs/cs/0003005v1
18,Pradeep,Shenoy,2000,http://arxiv.org/abs/cs/0003005v1
19,S.,Sudarshan,2000,http://arxiv.org/abs/cs/0003005v1
20,Hoshi,Mistry,2000,http://arxiv.org/abs/cs/0003006v1
21,Prasan,Roy,2000,http://arxiv.org/abs/cs/0003006v1
22,Krithi,Ramamritham,2000,http://arxiv.org/abs/cs/0003006v1
23,S.,Sudarshan,2000,http://arxiv.org/abs/cs/0003006v1
24,Avigdor,Gal,2000,http://arxiv.org/abs/cs/0007044v2
25,Jonathan,Eckstein,2000,http://arxiv.org/abs/cs/0007044v2
26,Sara,Cohen,2000,http://arxiv.org/abs/cs/0011024v1
27,Werner,Nutt,2000,http://arxiv.org/abs/cs/0011024v1
28,Alexander,Serebrenik,2000,http://arxiv.org/abs/cs/0011024v1
29,Sara,Cohen,2000,http://arxiv.org/abs/cs/0011041v1
30,Yaron,Kanza,2000,http://arxiv.org/abs/cs/0011041v1
31,Yakov,Kogan,2000,http://arxiv.org/abs/cs/0011041v1
32,Werner,Nutt,2000,http://arxiv.org/abs/cs/0011041v1
33,Yehoshua,Sagiv,2000,http://arxiv.org/abs/cs/0011041v1
34,Alexander,Serebrenik,2000,http://arxiv.org/abs/cs/0011041v1
35,Paul,Aoki,2001,http://arxiv.org/abs/cs/0103004v1
36,Ian,Smith,2001,http://arxiv.org/abs/cs/0103004v1
37,James,Thornton,2001,http://arxiv.org/abs/cs/0103004v1
38,Raj,Gopalan,2001,http://arxiv.org/abs/cs/0106055v1
39,Tariq,Nuruddin,2001,http://arxiv.org/abs/cs/0106055v1
40,Yudho,Sucahyo,2001,http://arxiv.org/abs/cs/0106055v1
41,John,Horrigan,2001,http://arxiv.org/abs/cs/0109084v1
42,N.,Sarda,2001,http://arxiv.org/abs/cs/0110020v1
43,Sara,Cohen,2001,http://arxiv.org/abs/cs/0110044v1
44,Yaron,Kanza,2001,http://arxiv.org/abs/cs/0110044v1
45,Yakov,Kogan,2001,http://arxiv.org/abs/cs/0110044v1
46,Werner,Nutt,2001,http://arxiv.org/abs/cs/0110044v1
47,Yehoshua,Sagiv,2001,http://arxiv.org/abs/cs/0110044v1
48,Alexander,Serebrenik,2001,http://arxiv.org/abs/cs/0110044v1
49,N.,Sarda,2001,http://arxiv.org/abs/cs/0110052v1
50,Ankur,Jain,2001,http://arxiv.org/abs/cs/0110052v1
51,D.,Quock,2001,http://arxiv.org/abs/cs/0111004v1
52,F.,Munson,2001,http://arxiv.org/abs/cs/0111004v1
53,K.,Eder,2001,http://arxiv.org/abs/cs/0111004v1
54,S.,Dean,2001,http://arxiv.org/abs/cs/0111004v1
55,Robert,Soliday,2001,http://arxiv.org/abs/cs/0111006v1
56,Satyanarayana,Valluri,2002,http://arxiv.org/abs/cs/0202035v1
57,Soujanya,Vadapalli,2002,http://arxiv.org/abs/cs/0202035v1
58,Kamalakar,Karlapalem,2002,http://arxiv.org/abs/cs/0202035v1
59,Jan,Bussche,2002,http://arxiv.org/abs/cs/0202037v2
60,Stijn,Vansummeren,2002,http://arxiv.org/abs/cs/0202037v2
61,Gottfried,Vossen,2002,http://arxiv.org/abs/cs/0202037v2
62,Jan,Chomicki,2002,http://arxiv.org/abs/cs/0204010v1
63,Jerzy,Marcinkowski,2002,http://arxiv.org/abs/cs/0204010v1
64,Christoph,Koch,2002,http://arxiv.org/abs/cs/0205060v1
