id,fname,lname,docID,manaul
0,Jim,Gray,http://arxiv.org/abs/cs/9809005v1,white
1,Goetz,Graefe,http://arxiv.org/abs/cs/9809005v1,white
2,Davood,Rafiei,http://arxiv.org/abs/cs/9809023v2,white
3,Alberto,Mendelzon,http://arxiv.org/abs/cs/9809023v2,white
6,Francis,Chu,http://arxiv.org/abs/cs/9909016v1,api
7,Joseph,Halpern,http://arxiv.org/abs/cs/9909016v1,white
8,Praveen,Seshadri,http://arxiv.org/abs/cs/9909016v1,white
9,Prasan,Roy,http://arxiv.org/abs/cs/9910021v1,api
10,S.,Seshadri,http://arxiv.org/abs/cs/9910021v1,api
11,S.,Sudarshan,http://arxiv.org/abs/cs/9910021v1,api
12,Siddhesh,Bhobe,http://arxiv.org/abs/cs/9910021v1,api
13,Angela,Bonifati,http://arxiv.org/abs/cs/9912015v1,white
14,Stefano,Ceri,http://arxiv.org/abs/cs/9912015v1,api
15,Avigdor,Gal,http://arxiv.org/abs/cs/0007044v2,white
16,Jonathan,Eckstein,http://arxiv.org/abs/cs/0007044v2,white
17,Sara,Cohen,http://arxiv.org/abs/cs/0011024v1,white
18,Werner,Nutt,http://arxiv.org/abs/cs/0011024v1,white
19,Alexander,Serebrenik,http://arxiv.org/abs/cs/0011024v1,white
21,Yaron,Kanza,http://arxiv.org/abs/cs/0011041v1,white
22,Yakov,Kogan,http://arxiv.org/abs/cs/0011041v1,white
24,Yehoshua,Sagiv,http://arxiv.org/abs/cs/0011041v1,white
26,Paul,Aoki,http://arxiv.org/abs/cs/0103004v1,white
27,Ian,Smith,http://arxiv.org/abs/cs/0103004v1,white
28,James,Thornton,http://arxiv.org/abs/cs/0103004v1,white
29,Raj,Gopalan,http://arxiv.org/abs/cs/0106055v1,white
30,Tariq,Nuruddin,http://arxiv.org/abs/cs/0106055v1,white
31,Yudho,Sucahyo,http://arxiv.org/abs/cs/0106055v1,api
32,John,Horrigan,http://arxiv.org/abs/cs/0109084v1,white
33,N.,Sarda,http://arxiv.org/abs/cs/0110020v1,white
41,Ankur,Jain,http://arxiv.org/abs/cs/0110052v1,white
42,D.,Quock,http://arxiv.org/abs/cs/0111004v1,white
43,F.,Munson,http://arxiv.org/abs/cs/0111004v1,white
44,K.,Eder,http://arxiv.org/abs/cs/0111004v1,white
45,S.,Dean,http://arxiv.org/abs/cs/0111004v1,white
46,Robert,Soliday,http://arxiv.org/abs/cs/0111006v1,white
47,Satyanarayana,Valluri,http://arxiv.org/abs/cs/0202035v1,white
48,Soujanya,Vadapalli,http://arxiv.org/abs/cs/0202035v1,white
49,Kamalakar,Karlapalem,http://arxiv.org/abs/cs/0202035v1,white
50,Jan,Bussche,http://arxiv.org/abs/cs/0202037v2,white
51,Stijn,Vansummeren,http://arxiv.org/abs/cs/0202037v2,white
52,Gottfried,Vossen,http://arxiv.org/abs/cs/0202037v2,white
53,Jan,Chomicki,http://arxiv.org/abs/cs/0204010v1,white
54,Jerzy,Marcinkowski,http://arxiv.org/abs/cs/0204010v1,white
55,Christoph,Koch,http://arxiv.org/abs/cs/0205060v1,white
57,Marcelo,Arenas,http://arxiv.org/abs/cs/0207094v1,hispanic
58,Leopoldo,Bertossi,http://arxiv.org/abs/cs/0207094v1,hispanic
60,Georg,Gottlob,http://arxiv.org/abs/cs/0211020v2,white
110,Z.,Xie,http://arxiv.org/abs/cs/0306065v1,api
