,Unnamed: 0,id,fname,lname,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",year
0,0,0,Jim,Gray,"GreaterEuropean,British",0.005547119,0.0054814527,0.0056365556,0.0027887025,0.003602196,0.8812858,0.0054943194,0.024156736,0.03567332,0.005495142,0.008972704,0.010021915,0.005843989,2000
1,1,1,Goetz,Graefe,"GreaterEuropean,WestEuropean,Germanic",0.0017804826,0.0009787995,0.0030393032,0.0074067204,0.0025060542,0.0656679,0.008348286,0.16647434,0.009285325,0.6342637,0.0038376155,0.034575865,0.061835676,2000
2,2,2,Davood,Rafiei,"GreaterAfrican,Muslim",0.0016060314,0.0005674112,0.2042491,0.04147668,0.3766645,0.2127957,0.0053860946,0.050623044,0.014651322,0.012041906,0.06619387,0.013608833,0.0001356188,2000
3,3,3,Alberto,Mendelzon,"GreaterEuropean,WestEuropean,Italian",0.00017557635,0.0025838688,0.00033627448,0.0003994327,0.00066433736,0.0066142026,0.0049729934,0.035363894,0.03575023,0.01891566,0.36083534,0.5319986,0.001389644,2000
4,4,4,Davood,Rafiei,"GreaterAfrican,Muslim",0.0016060314,0.0005674112,0.2042491,0.04147668,0.3766645,0.2127957,0.0053860946,0.050623044,0.014651322,0.012041906,0.06619387,0.013608833,0.0001356188,2000
5,5,5,Alberto,Mendelzon,"GreaterEuropean,WestEuropean,Italian",0.00017557635,0.0025838688,0.00033627448,0.0003994327,0.00066433736,0.0066142026,0.0049729934,0.035363894,0.03575023,0.01891566,0.36083534,0.5319986,0.001389644,2000
6,6,6,Francis,Chu,"Asian,GreaterEastAsian,EastAsian",0.90511066,0.00076474604,0.0006906148,0.0016750281,0.00011841918,0.046789248,0.00215945,0.0033537932,0.020937847,0.0009764097,0.009936321,0.007254591,0.00023283201,2000
7,7,7,Joseph,Halpern,"GreaterEuropean,Jewish",0.0030175413,0.0010482451,0.0054957783,0.004575066,0.00080378214,0.34079897,0.0078022196,0.5248466,0.062383685,0.024891341,0.007826989,0.012109715,0.0044000787,2000
8,8,8,Praveen,Seshadri,"Asian,IndianSubContinent",0.0018779723,0.00017857748,0.9746031,0.0009976133,0.015747637,0.003916291,0.00033198638,0.0008815723,0.00015393122,0.000110839304,0.00082639646,0.00023367918,0.00014046092,2000
9,9,9,Prasan,Roy,"Asian,IndianSubContinent",0.0011762135,0.00023698308,0.9639153,0.00081019953,0.009683997,0.015145206,0.0007650578,0.0012417783,0.0028734396,0.00023185526,0.002088489,0.000870325,0.00096114486,2000
10,10,10,S.,Seshadri,"Asian,IndianSubContinent",0.000104743165,1.8948991e-05,0.98217946,0.0005530874,0.013642936,0.0010198138,0.0007177456,0.0012042582,0.00035274003,2.6940294e-05,0.00013041378,2.8807915e-05,2.0120451e-05,2000
11,11,11,S.,Sudarshan,"Asian,IndianSubContinent",8.540743e-06,5.5238894e-07,0.99627835,1.1532581e-05,0.0032685732,0.0002920087,1.7778973e-05,6.8353154e-05,1.46372695e-05,3.136452e-06,3.0238036e-05,2.0173375e-06,4.215658e-06,2000
12,12,12,Siddhesh,Bhobe,"Asian,IndianSubContinent",7.392906e-06,3.7108637e-07,0.9986299,0.00046022388,0.00049837434,0.0003373254,3.730888e-07,5.6921676e-06,1.13699e-05,5.0185673e-07,3.8446415e-05,2.6930393e-06,7.3792335e-06,2000
13,13,13,Angela,Bonifati,"GreaterEuropean,WestEuropean,Italian",0.0018978959,0.0014471067,0.008384669,0.11041563,0.012250384,0.054147165,0.0022805582,0.008992663,0.026151318,0.0057357755,0.08775443,0.6757454,0.0047969255,2000
14,14,14,Stefano,Ceri,"GreaterEuropean,WestEuropean,Italian",8.137757e-05,0.000104682564,0.00013908983,0.0010469735,0.00056639075,0.0019554463,0.00014906627,0.003187679,0.0025237643,0.00078396965,0.01922693,0.97013533,9.926565e-05,2000
15,15,15,Avigdor,Gal,"GreaterEuropean,Jewish",0.0011292808,0.0075071594,0.059972484,0.008694437,0.009833109,0.13053702,0.03383366,0.6651473,0.01871906,0.015726043,0.021176249,0.011075811,0.016648425,2000
16,16,16,Jonathan,Eckstein,"GreaterEuropean,Jewish",0.00088995317,0.0072907875,0.0026349437,0.0015753102,0.0068705254,0.14720896,0.037006766,0.5694769,0.013396716,0.10852849,0.022461057,0.01827115,0.06438845,2000
17,17,17,Sara,Cohen,"GreaterEuropean,Jewish",0.0015360564,0.0036153037,0.009950353,0.013474123,0.012677816,0.050232958,0.0088672405,0.86120397,0.0076402854,0.01455199,0.010929054,0.0037048643,0.0016160199,2000
18,18,18,Werner,Nutt,"GreaterEuropean,British",0.0047939788,0.0054146396,0.014728998,0.006959398,0.0037743738,0.77691317,0.01418641,0.033395473,0.031428598,0.04012824,0.02396974,0.022338586,0.021968372,2000
19,19,19,Alexander,Serebrenik,"GreaterEuropean,EastEuropean",0.00027763724,0.0014479221,0.00044711118,0.0007656389,0.0026451005,0.02184485,0.91016614,0.04162546,0.0024814615,0.0028663704,0.0040653762,0.0025753689,0.008791464,2000
20,20,20,Sara,Cohen,"GreaterEuropean,Jewish",0.0015360564,0.0036153037,0.009950353,0.013474123,0.012677816,0.050232958,0.0088672405,0.86120397,0.0076402854,0.01455199,0.010929054,0.0037048643,0.0016160199,2000
21,21,21,Yaron,Kanza,"GreaterAfrican,Africans",0.0022667178,0.23800536,0.0100716455,0.25812566,0.013509347,0.01841659,0.019527704,0.25603864,0.06999344,0.00085664436,0.052311476,0.06059001,0.00028669386,2000
22,22,22,Yakov,Kogan,"GreaterEuropean,Jewish",0.00024273532,0.0018248901,0.0059743784,0.0010488711,0.008183178,0.007999769,0.37399116,0.59098625,0.0017008767,0.0011420894,0.0006095813,0.0056025055,0.00069377566,2000
23,23,23,Werner,Nutt,"GreaterEuropean,British",0.0047939788,0.0054146396,0.014728998,0.006959398,0.0037743738,0.77691317,0.01418641,0.033395473,0.031428598,0.04012824,0.02396974,0.022338586,0.021968372,2000
24,24,24,Yehoshua,Sagiv,"GreaterEuropean,Jewish",1.6616797e-05,1.6951355e-05,0.00048052022,0.0012186152,0.053250775,0.0011227474,0.014353806,0.9202351,0.0044189165,0.00015641397,0.0004759138,0.004240639,1.3028701e-05,2000
25,25,25,Alexander,Serebrenik,"GreaterEuropean,EastEuropean",0.00027763724,0.0014479221,0.00044711118,0.0007656389,0.0026451005,0.02184485,0.91016614,0.04162546,0.0024814615,0.0028663704,0.0040653762,0.0025753689,0.008791464,2000
26,26,26,Paul,Aoki,"GreaterAfrican,Africans",0.046407532,0.28130767,0.013607199,0.43387815,0.002609448,0.14258376,0.020165592,0.0221819,0.009520569,0.006337398,0.007714728,0.00907397,0.004612145,2000
27,27,27,Ian,Smith,"GreaterEuropean,British",0.0016710272,0.0018385402,0.0013282616,0.0009699543,0.0011024195,0.96980035,0.00053568545,0.0076825917,0.0037794902,0.0011199034,0.004810518,0.0026571895,0.002704018,2000
28,28,28,James,Thornton,"GreaterEuropean,British",0.0070235636,0.0021264525,0.0038392786,0.0019309404,0.00039667694,0.94327474,0.001047986,0.008368994,0.020373717,0.000836559,0.0052573998,0.004061151,0.0014626096,2000
29,29,29,Raj,Gopalan,"Asian,IndianSubContinent",4.3490214e-05,1.4659335e-05,0.99131167,0.00039360885,0.0051553906,0.0020536496,0.00012700996,0.00025774658,0.00017166528,6.532597e-05,0.00028128613,5.0655148e-05,7.378065e-05,2000
30,30,30,Tariq,Nuruddin,"GreaterAfrican,Muslim",0.0010698914,0.00030347257,0.15021385,0.017360285,0.7357339,0.051461574,0.0048738564,0.0134484125,0.014822236,0.00094441493,0.0077874167,0.0013897169,0.0005909344,2000
31,31,31,Yudho,Sucahyo,"GreaterAfrican,Africans",0.005462417,0.023674173,0.079311214,0.82151115,0.0060061063,0.012824034,0.019338954,0.0035199216,0.008211857,0.0043056337,0.011493577,0.0028840902,0.0014568869,2000
32,32,32,John,Horrigan,"GreaterEuropean,British",0.007825929,0.0013899162,0.0024809074,0.00075400196,0.00021424709,0.95466167,0.0007104006,0.007448801,0.014983119,0.0017130878,0.0035772405,0.002660657,0.0015801139,2000
33,33,33,N.,Sarda,"Asian,IndianSubContinent",7.051963e-05,6.829296e-05,0.98291147,0.0023166586,0.00708134,0.0036315755,0.00049460266,0.0011825522,0.00066363194,0.00023149682,0.00077718805,0.0002585005,0.00031220986,2000
34,34,34,Sara,Cohen,"GreaterEuropean,Jewish",0.0015360564,0.0036153037,0.009950353,0.013474123,0.012677816,0.050232958,0.0088672405,0.86120397,0.0076402854,0.01455199,0.010929054,0.0037048643,0.0016160199,2000
35,35,35,Yaron,Kanza,"GreaterAfrican,Africans",0.0022667178,0.23800536,0.0100716455,0.25812566,0.013509347,0.01841659,0.019527704,0.25603864,0.06999344,0.00085664436,0.052311476,0.06059001,0.00028669386,2000
36,36,36,Yakov,Kogan,"GreaterEuropean,Jewish",0.00024273532,0.0018248901,0.0059743784,0.0010488711,0.008183178,0.007999769,0.37399116,0.59098625,0.0017008767,0.0011420894,0.0006095813,0.0056025055,0.00069377566,2000
